	10-HDoHE	10S,17S-DiHDoHE	11-HDoHE	11-HETE	11(12)-EpETrE	11(R)-HEDE	12-HEPE	12-HETE	12,13-DiHOME	12(13)-EpOME	12(S)-HHTrE	13-HDoHE	13-HODE	13-OxoODE	13,14dh-15k-PGD2	13,14dh-15k-PGE2	13(S)-HOTrE	14-HDoHE	15-keto PGE2	15-OxoETE	15(S)-HEDE	15(S)-HEPE	16-HDoHE	17-HDoHE	18-HEPE	19,20-DiHDoPE	19(20)-EpDPE	20-HDoHE	4-HDoHE	5-HETE	5-oxoETE	5(6)-EpETrE	6kPGF1a	8-HDoHE	8(S)-HETrE	9-HEPE	9-HODE	9-OxoODE	9-OxoOTrE	9,10-DiHOME	9(S)-HOTrE	AT-RvD3	D12-PGJ2	PD1	PGA2	PGD2	PGE2	PGE3	PGF2a	PGJ2	RvD6 (4,17-DiHDoHE)	tetranor 12-HETE	TXB2
12(S)-HHTrE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9540229885057471	0.0	1.0	0.0	0.0	0.0	0.0	0.005747126436781609	0.005747126436781609	0.0	0.0	0.0	0.028735632183908046	0.9942528735632183	0.0	0.9885057471264368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.40804597701149425	0.0	0.0	0.0	0.0	0.0	0.0	0.9885057471264368	0.0	0.9942528735632183	0.9942528735632183	0.0	0.011494252873563218	0.0	0.9827586206896551	0.0	0.0	0.3045977011494252	0.0	0.9712643678160919	0.011494252873563218
13-HDoHE	0.0	0.9655172413793104	0.7701149425287356	0.9655172413793104	0.0	0.0	0.0	0.0	0.028735632183908035	0.0	0.0	1.0	0.9712643678160919	0.0	0.9655172413793104	0.0	0.9655172413793104	0.9655172413793104	0.0	0.028735632183908046	0.9425287356321839	0.0	0.0	0.0	0.0	0.028735632183908046	0.0	0.0	0.0	0.0	0.0	0.028735632183908046	0.5804597701149427	0.0	0.0	0.0	0.0	0.0	0.0	0.005747126436781609	0.0	0.0	0.0	0.9597701149425287	0.9597701149425287	0.10919540229885058	0.011494252873563218	0.9712643678160919	0.0	0.6839080459770112	0.0	0.0	0.9597701149425287
13-HODE	0.0	0.9942528735632183	0.7873563218390804	0.9942528735632183	0.0	0.0	0.0	0.0	0.04022988505747127	0.0	0.0	0.9712643678160919	1.0	0.0	0.9942528735632183	0.0	0.9942528735632183	0.9942528735632183	0.0	0.0	0.9712643678160919	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5919540229885056	0.0	0.0	0.0	0.0	0.0	0.0	0.005747126436781609	0.0	0.0	0.0	0.9885057471264368	0.9885057471264368	0.08045977011494254	0.011494252873563218	1.0	0.0	0.6954022988505746	0.0	0.0	0.9885057471264368
13-OxoODE	0.9942528735632183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.9942528735632183	0.08045977011494254	0.0	0.0	0.13793103448275856	0.0	0.0	0.0	0.9885057471264368	0.9770114942528736	0.022988505747126436	0.9827586206896551	0.0	0.0	0.0	0.022988505747126436	0.0	0.0	0.9885057471264368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9885057471264368	0.0	0.0	0.0	0.0
13,14dh-15k-PGD2	0.0	0.9885057471264368	0.7816091954022989	0.9885057471264368	0.0	0.0	0.0	0.0	0.04022988505747127	0.0	0.0	0.9655172413793104	0.9942528735632183	0.0	1.0	0.0	0.9885057471264368	0.9885057471264368	0.0	0.005747126436781609	0.9655172413793104	0.0	0.0	0.0	0.0	0.005747126436781609	0.0	0.0	0.0	0.0	0.0	0.005747126436781609	0.5862068965517244	0.0	0.0	0.0	0.0	0.0	0.0	0.005747126436781609	0.0	0.0	0.0	0.9827586206896551	0.9827586206896551	0.07471264367816094	0.011494252873563218	0.9942528735632183	0.0	0.6896551724137928	0.0	0.0	0.9827586206896551
13,14dh-15k-PGE2	0.0	0.0	0.0	0.0	0.0	0.011494252873563218	0.19540229885057472	0.0	0.005747126436781609	0.9885057471264368	0.005747126436781609	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.005747126436781609	0.005747126436781609	0.0	0.005747126436781609	0.9827586206896551	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09770114942528736	0.0	0.9827586206896551	0.0	0.005747126436781609	0.022988505747126436	0.005747126436781609	0.005747126436781609	0.0	0.0	0.0	0.005747126436781609	0.0	0.0	0.0	0.017241379310344824	0.022988505747126436	0.0
13(S)-HOTrE	0.0	0.9885057471264368	0.7816091954022989	0.9885057471264368	0.0	0.0	0.0	0.0	0.04597701149425287	0.0	0.005747126436781609	0.9655172413793104	0.9942528735632183	0.0	0.9885057471264368	0.0	1.0	0.9885057471264368	0.0	0.0	0.9655172413793104	0.005747126436781609	0.0	0.005747126436781609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5862068965517244	0.0	0.0	0.0	0.0	0.0	0.0	0.011494252873563218	0.0	0.005747126436781609	0.005747126436781609	0.9827586206896551	0.9827586206896551	0.08045977011494254	0.005747126436781609	0.9942528735632183	0.0	0.6896551724137928	0.0	0.0	0.9827586206896551
14-HDoHE	0.0	0.9885057471264368	0.7816091954022989	0.9885057471264368	0.0	0.0	0.0	0.0	0.04022988505747127	0.0	0.0	0.9655172413793104	0.9942528735632183	0.0	0.9885057471264368	0.0	0.9885057471264368	1.0	0.0	0.005747126436781609	0.9655172413793104	0.0	0.0	0.0	0.0	0.005747126436781609	0.0	0.0	0.0	0.0	0.0	0.005747126436781609	0.5919540229885056	0.0	0.0	0.0	0.0	0.0	0.0	0.005747126436781609	0.0	0.0	0.0	0.9827586206896551	0.9827586206896551	0.08620689655172417	0.011494252873563218	0.9942528735632183	0.0	0.6896551724137928	0.0	0.0	0.9827586206896551
15-keto PGE2	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9942528735632183	0.0	0.0	0.0	0.0	1.0	0.08045977011494254	0.0	0.0	0.14367816091954028	0.0	0.0	0.0	0.9942528735632183	0.9827586206896551	0.022988505747126436	0.9885057471264368	0.0	0.0	0.0	0.022988505747126436	0.0	0.0	0.9942528735632183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9942528735632183	0.0	0.0	0.0	0.0
15-OxoETE	0.08045977011494254	0.005747126436781609	0.18390804597701144	0.005747126436781609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028735632183908046	0.0	0.08045977011494254	0.005747126436781609	0.0	0.0	0.005747126436781609	0.08045977011494254	1.0	0.0	0.0	0.005747126436781609	0.0	0.0	0.9080459770114943	0.07471264367816093	0.08045977011494254	0.005747126436781609	0.09195402298850577	0.0	0.9137931034482759	0.0	0.0	0.0	0.0	0.08045977011494254	0.0	0.0	0.0	0.0	0.0	0.0	0.011494252873563218	0.0	0.8333333333333334	0.0	0.0	0.08620689655172421	0.0	0.0	0.0	0.0
15(S)-HEDE	0.0	0.9655172413793104	0.7586206896551724	0.9655172413793104	0.0	0.0	0.0	0.0	0.0689655172413793	0.0	0.028735632183908046	0.9425287356321839	0.9712643678160919	0.0	0.9655172413793104	0.005747126436781609	0.9655172413793104	0.9655172413793104	0.0	0.0	1.0	0.028735632183908046	0.0	0.028735632183908046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5862068965517244	0.0	0.0	0.0	0.0	0.0	0.0	0.03448275862068964	0.0	0.028735632183908046	0.028735632183908046	0.9655172413793104	0.9597701149425287	0.08045977011494254	0.028735632183908046	0.9712643678160919	0.0	0.7011494252873565	0.0	0.028735632183908046	0.9597701149425287
15(S)-HEPE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9597701149425287	0.0	0.9942528735632183	0.0	0.0	0.0	0.0	0.005747126436781609	0.005747126436781609	0.0	0.0	0.0	0.028735632183908046	1.0	0.0	0.9942528735632183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.40804597701149425	0.0	0.0	0.0	0.0	0.0	0.0	0.9942528735632183	0.0	1.0	1.0	0.0	0.011494252873563218	0.0	0.9885057471264368	0.0	0.0	0.3045977011494252	0.0	0.9770114942528736	0.011494252873563218
16-HDoHE	0.14367816091954028	0.0	0.0	0.0	0.8563218390804596	0.8448275862068967	0.6954022988505748	0.8563218390804596	0.0	0.005747126436781609	0.0	0.0	0.0	0.13793103448275856	0.0	0.0	0.0	0.0	0.14367816091954028	0.005747126436781609	0.0	0.0	1.0	0.0	0.005747126436781609	0.0	0.14367816091954028	0.15517241379310348	0.8563218390804598	0.14367816091954028	0.8563218390804596	0.0	0.0	0.8563218390804596	0.8563218390804596	0.7758620689655172	0.14367816091954028	0.0	0.8563218390804596	0.0	0.8505747126436781	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14367816091954028	0.0	0.8448275862068967	0.0	0.0
17-HDoHE	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9540229885057471	0.0	0.9885057471264368	0.0	0.0	0.0	0.0	0.005747126436781609	0.005747126436781609	0.0	0.0	0.0	0.028735632183908046	0.9942528735632183	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.40804597701149425	0.0	0.0	0.0	0.0	0.0	0.0	0.9885057471264368	0.0	0.9942528735632183	0.9942528735632183	0.0	0.011494252873563218	0.0	0.9827586206896551	0.0	0.0	0.2988505747126437	0.0	0.9712643678160919	0.011494252873563218
18-HEPE	0.0	0.0	0.0	0.0	0.011494252873563218	0.011494252873563218	0.21264367816091953	0.011494252873563218	0.0	0.9827586206896551	0.0	0.0	0.0	0.0	0.0	0.9827586206896551	0.0	0.0	0.0	0.0	0.0	0.0	0.005747126436781609	0.0	1.0	0.0	0.0	0.0	0.011494252873563218	0.0	0.011494252873563218	0.0	0.0	0.011494252873563218	0.011494252873563218	0.10919540229885058	0.0	0.9770114942528736	0.011494252873563218	0.0	0.03448275862068965	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028735632183908046	0.017241379310344824	0.0
19,20-DiHDoPE	0.0	0.005747126436781609	0.21264367816091953	0.005747126436781609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028735632183908046	0.0	0.0	0.005747126436781609	0.0	0.0	0.005747126436781609	0.0	0.9080459770114943	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.011494252873563218	0.0	0.9942528735632183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011494252873563218	0.0	0.9137931034482759	0.0	0.0	0.005747126436781609	0.0	0.0	0.0	0.0
19(20)-EpDPE	0.9942528735632183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9885057471264368	0.0	0.0	0.0	0.0	0.9942528735632183	0.07471264367816093	0.0	0.0	0.14367816091954028	0.0	0.0	0.0	1.0	0.9770114942528736	0.022988505747126436	0.9827586206896551	0.0	0.0	0.0	0.022988505747126436	0.0	0.0	0.9885057471264368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9885057471264368	0.0	0.0	0.0	0.0
20-HDoHE	0.9827586206896551	0.0	0.0	0.0	0.011494252873563218	0.011494252873563218	0.005747126436781609	0.011494252873563218	0.0	0.0	0.0	0.0	0.0	0.9770114942528736	0.0	0.0	0.0	0.0	0.9827586206896551	0.08045977011494254	0.0	0.0	0.15517241379310348	0.0	0.0	0.0	0.9770114942528736	1.0	0.03448275862068965	0.9712643678160919	0.011494252873563218	0.0	0.0	0.03448275862068965	0.011494252873563218	0.011494252873563218	0.9770114942528736	0.0	0.011494252873563218	0.0	0.011494252873563218	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9770114942528736	0.0	0.011494252873563218	0.0	0.0
4-HDoHE	0.022988505747126436	0.0	0.0	0.0	0.9770114942528736	0.9655172413793104	0.7758620689655172	0.9770114942528736	0.0	0.005747126436781609	0.0	0.0	0.0	0.022988505747126436	0.0	0.0	0.0	0.0	0.022988505747126436	0.005747126436781609	0.0	0.0	0.8563218390804598	0.0	0.011494252873563218	0.0	0.022988505747126436	0.03448275862068965	1.0	0.022988505747126436	0.9770114942528736	0.0	0.0	0.9655172413793104	0.9770114942528736	0.8850574712643678	0.022988505747126436	0.0	0.9770114942528736	0.0	0.9540229885057471	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022988505747126436	0.0	0.9597701149425287	0.0	0.0
5-HETE	0.9885057471264368	0.0	0.005747126436781609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9827586206896551	0.0	0.0	0.0	0.0	0.9885057471264368	0.09195402298850577	0.0	0.0	0.14367816091954028	0.0	0.0	0.011494252873563218	0.9827586206896551	0.9712643678160919	0.022988505747126436	1.0	0.0	0.011494252873563218	0.0	0.022988505747126436	0.0	0.0	0.9827586206896551	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011494252873563218	0.0	0.0	0.9827586206896551	0.0	0.0	0.0	0.0
5-oxoETE	0.0	0.0	0.0	0.0	1.0	0.9885057471264368	0.7988505747126436	1.0	0.0	0.005747126436781609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8563218390804596	0.0	0.011494252873563218	0.0	0.0	0.011494252873563218	0.9770114942528736	0.0	1.0	0.0	0.0	0.9770114942528736	1.0	0.9022988505747126	0.0	0.0	1.0	0.0	0.9770114942528736	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9827586206896551	0.0	0.0
5(6)-EpETrE	0.0	0.005747126436781609	0.21264367816091953	0.005747126436781609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028735632183908046	0.0	0.0	0.005747126436781609	0.0	0.0	0.005747126436781609	0.0	0.9137931034482759	0.0	0.0	0.0	0.0	0.0	0.9942528735632183	0.0	0.0	0.0	0.011494252873563218	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011494252873563218	0.0	0.9195402298850575	0.0	0.0	0.005747126436781609	0.0	0.0	0.0	0.0
6kPGF1a	0.0	0.586206896551724	0.4540229885057471	0.5919540229885056	0.0	0.0	0.0	0.0	0.41379310344827586	0.0	0.40804597701149425	0.5804597701149427	0.5919540229885056	0.0	0.5862068965517244	0.0	0.5862068965517244	0.5919540229885056	0.0	0.0	0.5862068965517244	0.40804597701149425	0.0	0.40804597701149425	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4137931034482758	0.0	0.40804597701149425	0.40804597701149425	0.5804597701149427	0.6034482758620692	0.06321839080459775	0.41954022988505746	0.5919540229885056	0.0	0.5862068965517248	0.0	0.40804597701149425	0.5919540229885056
8-HDoHE	0.022988505747126436	0.0	0.0	0.0	0.9770114942528736	0.9655172413793104	0.7873563218390807	0.9770114942528736	0.0	0.005747126436781609	0.0	0.0	0.0	0.022988505747126436	0.0	0.0	0.0	0.0	0.022988505747126436	0.0	0.0	0.0	0.8563218390804596	0.0	0.011494252873563218	0.0	0.022988505747126436	0.03448275862068965	0.9655172413793104	0.022988505747126436	0.9770114942528736	0.0	0.0	1.0	0.9770114942528736	0.8793103448275861	0.022988505747126436	0.0	0.9770114942528736	0.0	0.9540229885057471	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022988505747126436	0.0	0.9597701149425287	0.0	0.0
8(S)-HETrE	0.0	0.0	0.0	0.0	1.0	0.9885057471264368	0.7988505747126436	1.0	0.0	0.005747126436781609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8563218390804596	0.0	0.011494252873563218	0.0	0.0	0.011494252873563218	0.9770114942528736	0.0	1.0	0.0	0.0	0.9770114942528736	1.0	0.9022988505747126	0.0	0.0	1.0	0.0	0.9770114942528736	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9827586206896551	0.0	0.0
9-HEPE	0.0	0.0	0.0	0.0	0.9022988505747126	0.8908045977011494	0.7586206896551724	0.9022988505747126	0.0	0.10344827586206896	0.0	0.0	0.0	0.0	0.0	0.09770114942528736	0.0	0.0	0.0	0.0	0.0	0.0	0.7758620689655172	0.0	0.10919540229885058	0.0	0.0	0.011494252873563218	0.8850574712643678	0.0	0.9022988505747126	0.0	0.0	0.8793103448275861	0.9022988505747126	1.0	0.0	0.09770114942528736	0.9022988505747126	0.0	0.9022988505747126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.896551724137931	0.0	0.0
9-HODE	0.9942528735632183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9885057471264368	0.0	0.0	0.0	0.0	0.9942528735632183	0.08045977011494254	0.0	0.0	0.14367816091954028	0.0	0.0	0.0	0.9885057471264368	0.9770114942528736	0.022988505747126436	0.9827586206896551	0.0	0.0	0.0	0.022988505747126436	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9885057471264368	0.0	0.0	0.0	0.0
9-OxoODE	0.0	0.0	0.0	0.0	0.0	0.011494252873563218	0.20114942528735633	0.0	0.0	0.9827586206896551	0.0	0.0	0.0	0.0	0.0	0.9827586206896551	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9770114942528736	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09770114942528736	0.0	1.0	0.0	0.0	0.022988505747126436	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017241379310344824	0.017241379310344824	0.0
9-OxoOTrE	0.0	0.0	0.0	0.0	1.0	0.9885057471264368	0.7988505747126436	1.0	0.0	0.005747126436781609	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8563218390804596	0.0	0.011494252873563218	0.0	0.0	0.011494252873563218	0.9770114942528736	0.0	1.0	0.0	0.0	0.9770114942528736	1.0	0.9022988505747126	0.0	0.0	1.0	0.0	0.9770114942528736	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9827586206896551	0.0	0.0
9,10-DiHOME	0.0	0.005747126436781609	0.0	0.005747126436781609	0.0	0.0	0.0	0.0	0.9655172413793104	0.0	0.9885057471264368	0.005747126436781609	0.005747126436781609	0.0	0.005747126436781609	0.005747126436781609	0.011494252873563218	0.005747126436781609	0.0	0.0	0.03448275862068964	0.9942528735632183	0.0	0.9885057471264368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4137931034482758	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.9942528735632183	0.9942528735632183	0.005747126436781609	0.017241379310344824	0.0	0.9827586206896551	0.005747126436781609	0.0	0.3103448275862071	0.0	0.9712643678160919	0.01724137931034482
9(S)-HOTrE	0.0	0.0	0.0	0.0	0.9770114942528736	0.9655172413793104	0.7873563218390801	0.9770114942528736	0.0	0.028735632183908046	0.0	0.0	0.0	0.0	0.0	0.022988505747126436	0.0	0.0	0.0	0.0	0.0	0.0	0.8505747126436781	0.0	0.03448275862068965	0.0	0.0	0.011494252873563218	0.9540229885057471	0.0	0.9770114942528736	0.0	0.0	0.9540229885057471	0.9770114942528736	0.9022988505747126	0.0	0.022988505747126436	0.9770114942528736	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9712643678160919	0.0	0.0
AT-RvD3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9597701149425287	0.0	0.9942528735632183	0.0	0.0	0.0	0.0	0.005747126436781609	0.005747126436781609	0.0	0.0	0.0	0.028735632183908046	1.0	0.0	0.9942528735632183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.40804597701149425	0.0	0.0	0.0	0.0	0.0	0.0	0.9942528735632183	0.0	1.0	1.0	0.0	0.011494252873563218	0.0	0.9885057471264368	0.0	0.0	0.3045977011494252	0.0	0.9770114942528736	0.011494252873563218
